"bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
14.6208333969116,12.8249998092651,55.2801704406738,398.516906738281,27.1000003814697,3.90000009536743,23.2000007629395,10.6666669845581,19.2000007629395,19.5666656494141,9.83333301544189,625,131,2,92.8025207519531,337,8,12,334
12.8500003814697,13.2666664123535,58.4434661865234,353.405517578125,25.5,2.79999995231628,22.7000007629395,9.25,16.6833324432373,17.533332824707,8.98333358764648,766,148,2,91.8973236083984,406,9,15,405
13.8541669845581,12.2416667938232,42.6538925170898,622.237365722656,31,2.29999995231628,28.7000007629395,7.08333349227905,21.1833343505859,22.1499996185303,7.08333349227905,919,182,3,89.3448867797852,480,14,23,480
16.3916664123535,14.4166669845581,48.3780784606934,566.624084472656,33.0999984741211,3.29999995231628,29.7999992370605,10.716667175293,23.3499984741211,23.8833332061768,10.0999994277954,393,84,1,96.5094757080078,229,6,11,222
15.9624996185303,13.3583335876465,43.2308540344238,647.744812011719,33.7999992370605,2.90000009536743,30.8999996185303,8.83333301544189,23.8999996185303,23.9500007629395,8.38333320617676,805,145,3,85.4321594238281,404,14,22,388
15.0333337783813,14.1333332061768,64.5357666015625,288.210266113281,26.2000007629395,4.30000019073486,21.9000015258789,12.0666666030884,18.1333332061768,18.6666679382324,11.6666669845581,590,129,1,101.035018920898,365,5,13,341
15.3708333969116,14.591667175293,54.2441139221191,464.28564453125,29.8999996185303,3,26.8999996185303,10.6333332061768,20.6666660308838,21.0833339691162,9.71666622161865,543,116,2,93.0535049438477,292,7,12,292
13.8666667938232,11.3500003814697,61.0215034484863,255.078720092773,23,4.40000009536743,18.6000003814697,10.5500001907349,16.3999996185303,16.7666664123535,10.5500001907349,532,108,2,90.112060546875,283,9,14,283
11.0208330154419,13.3416662216187,45.6906394958496,596.266662597656,27.7999992370605,-1.39999997615814,29.1999988555908,4.98333311080933,18.4333324432373,18.8833332061768,4.5,606,111,2,82.8936233520508,312,14,24,299
14.4583330154419,13.4666662216187,56.8213768005371,385.621307373047,26.8999996185303,3.20000004768372,23.6999988555908,9.64999961853027,18.533332824707,19.1666660308838,9.64999961853027,435,88,2,90.0693817138672,230,7,10,230
17.7583332061768,13.9500007629395,54.069766998291,427.645935058594,31.6000003814697,5.80000019073486,25.7999992370605,13.4000005722046,22.7666664123535,23.4166660308838,12.9166669845581,434,94,1,98.2696380615234,264,6,13,244
17.0625,15.3583335876465,49.5430107116699,579.263366699219,34.2999992370605,3.29999995231628,31,11.1499996185303,24.1666660308838,24.6000003814697,10.533332824707,358,75,1,95.5402374267578,208,6,10,199
15.8166666030884,13.5,50.1858711242676,501.082183837891,30.7000007629395,3.79999995231628,26.9000015258789,9.53333282470703,21.533332824707,21.6833343505859,9.53333282470703,493,107,1,92.6730346679688,270,6,9,270
15.9375,12.5416669845581,62.087459564209,280.122741699219,26.1000003814697,5.90000009536743,20.2000007629395,12.966667175293,18.8833332061768,19.5833339691162,12.7666664123535,431,103,1,107.408935546875,282,4,8,259
17.470832824707,9.00833320617676,53.6210327148438,289.12451171875,25.8999996185303,9.10000038146973,16.7999992370605,14.4499998092651,20.6333332061768,21.3166656494141,14.3166666030884,320,74,1,101.290840148926,198,4,8,187
13.7541666030884,14.408332824707,56.7257232666016,394.700469970703,27.8999996185303,2.5,25.3999996185303,9.78333377838135,18.216667175293,18.9166660308838,9.26666641235352,562,108,1,92.0889511108398,301,6,12,299
12.5166664123535,13.4166669845581,53.8821983337402,409.8798828125,26.7999992370605,1.89999997615814,24.8999996185303,8.48333358764648,17.2666664123535,18.033332824707,8.05000019073486,729,142,2,92.1981811523438,391,9,17,390
16.9375,15.2250003814697,51.4358100891113,518.613220214844,33.4000015258789,3.79999995231628,29.6000022888184,11.6166667938232,23.1499996185303,23.7666664123535,11.1166667938232,411,87,0,97.1501770019531,238,5,10,231
13.1291666030884,10.875,56.640625,312.122192382812,23.5,4.30000019073486,19.2000007629395,9.75,16.466667175293,17.2333335876465,9.75,881,173,2,93.1097793579102,471,9,15,471
13.5791664123535,14.9916667938232,54.1215400695801,460.283813476562,29.6000003814697,1.89999997615814,27.7000007629395,9,19.1666660308838,19.7666664123535,8.75,520,104,1,94.4989395141602,293,5,13,286
15.1458330154419,12.2916669845581,50.3756828308105,460.713165283203,28.6000003814697,4.19999980926514,24.4000015258789,9.33333396911621,20.283332824707,20.5833339691162,9.33333396911621,504,107,1,91.3808517456055,273,6,10,273
13.6416664123535,14.3166666030884,58.1978302001953,363.223175048828,27.1000003814697,2.5,24.6000003814697,10.0666666030884,17.8166675567627,18.3166675567627,9.44999980926514,543,114,1,97.1907653808594,325,5,14,304
15.7375001907349,13.9416666030884,54.247730255127,452.408325195312,29.7999992370605,4.09999990463257,25.6999988555908,11.1333332061768,20.8999996185303,21.2666664123535,10.2666664123535,433,88,1,89.1072387695312,226,6,10,223
12.2375001907349,14.0250005722046,45.2419357299805,644.081909179688,30.7000007629395,-0.300000011920929,31,5.16666650772095,20.1666660308838,20.6666660308838,5.16666650772095,1358,238,7,81.1719436645508,657,31,45,657
15.3458337783813,14.6750001907349,55.3773574829102,409.497802734375,30.2000007629395,3.70000004768372,26.5,11.2333335876465,20.0499992370605,20.8333339691162,10.8666667938232,469,105,0,101.397735595703,289,2,9,267
17.8250007629395,13.9499998092651,53.2442741394043,435.934204101562,31.7999992370605,5.59999990463257,26.1999988555908,13.3500003814697,22.8166675567627,23.6166667938232,12.8833332061768,313,64,1,87.9761352539062,175,7,13,164
16.2875003814697,6.17499971389771,46.082088470459,258.141296386719,22.3999996185303,9,13.3999996185303,13.6166667938232,19.033332824707,19.783332824707,13.466667175293,295,61,1,91.7823028564453,174,5,9,151
16.6499996185303,13.6333332061768,44.846492767334,618.932373046875,34.0999984741211,3.70000004768372,30.3999977111816,10.7666664123535,24.0499992370605,24.0499992370605,9.13333320617676,495,97,2,86.1588439941406,253,10,10,249
13.9416666030884,9.10000038146973,59.477123260498,232.034805297852,22.1000003814697,6.80000019073486,15.3000001907349,10.966667175293,16.033332824707,16.5499992370605,10.966667175293,804,166,3,90.830810546875,434,12,61,434
17.595832824707,15.7416667938232,45.1050643920898,710.785278320312,37.0999984741211,2.20000004768372,34.8999977111816,10.8000001907349,26.3833332061768,26.3833332061768,9.25,393,77,1,86.098747253418,217,5,5,195
